epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,329.597,0.45057,0.37844,0.21776,0.28957,0.90129,0.68318,0.68421,0.54183,0.20078,0.86714,0.86842,0.81122,0.50099,2.3936,3.32447,0.23775,1.50582,3.54195,0.0006932,0.0006932,0.0006932
101,332.723,0.44857,0.37642,0.23129,0.29586,0.88122,0.63061,0.63158,0.49406,0.20356,0.84081,0.84211,0.77828,0.48555,2.34132,3.32287,0.23414,1.48647,3.53122,0.00068,0.00068,0.00068
102,335.762,0.45836,0.39796,0.2178,0.28814,0.90899,0.65701,0.65789,0.47106,0.17877,0.84105,0.84211,0.7598,0.45326,2.4147,3.41232,0.24456,1.66571,3.50392,0.0006668,0.0006668,0.0006668
103,338.764,0.40609,0.33984,0.21089,0.27464,0.89247,0.63082,0.63158,0.47623,0.20739,0.84116,0.84211,0.79854,0.49574,2.39045,3.33354,0.25087,1.60386,3.64543,0.0006536,0.0006536,0.0006536
104,341.742,0.41059,0.35685,0.21953,0.27389,0.88833,0.65694,0.65789,0.51343,0.21768,0.84088,0.84211,0.81845,0.5201,2.31542,3.55186,0.25201,1.66538,3.57617,0.0006404,0.0006404,0.0006404
105,344.768,0.41531,0.37597,0.19872,0.27071,0.87164,0.63067,0.63158,0.48508,0.20994,0.84089,0.84211,0.78853,0.49597,2.36843,3.28347,0.23767,1.5363,3.62298,0.0006272,0.0006272,0.0006272
106,347.725,0.44692,0.34478,0.22389,0.28993,0.9015,0.63065,0.63158,0.42816,0.1566,0.8409,0.84211,0.74387,0.43085,2.39818,3.55198,0.24501,1.6902,3.5931,0.000614,0.000614,0.000614
107,350.866,0.41965,0.32125,0.22898,0.27977,0.8923,0.65693,0.65789,0.44629,0.15132,0.84089,0.84211,0.72816,0.41934,2.34119,3.28254,0.22726,1.5177,3.55289,0.0006008,0.0006008,0.0006008
108,353.941,0.38613,0.30939,0.20754,0.27448,0.86897,0.68421,0.68421,0.48303,0.16717,0.86842,0.86842,0.77459,0.4491,2.45117,3.49202,0.22255,1.83062,3.64259,0.0005876,0.0005876,0.0005876
109,356.983,0.38915,0.3733,0.2217,0.2708,0.8859,0.65694,0.65789,0.4856,0.18997,0.86716,0.86842,0.78165,0.46671,2.36866,3.47467,0.25038,1.67433,3.58438,0.0005744,0.0005744,0.0005744
110,360.013,0.37818,0.359,0.21877,0.26541,0.8813,0.63068,0.63158,0.45972,0.20216,0.84091,0.84211,0.76923,0.47721,2.37395,3.4974,0.25274,1.7956,3.59147,0.0005612,0.0005612,0.0005612
111,363.015,0.38587,0.3619,0.23386,0.26269,0.87518,0.65694,0.65789,0.44604,0.16733,0.84089,0.84211,0.75877,0.4611,2.39882,3.5493,0.23711,1.7059,3.60612,0.000548,0.000548,0.000548
112,366.105,0.43985,0.35868,0.22931,0.28263,0.89558,0.65695,0.65789,0.44876,0.16647,0.8409,0.84211,0.76265,0.44357,2.33839,3.43529,0.24466,1.62107,3.64308,0.0005348,0.0005348,0.0005348
